arm,concurrency,run,completed,output_throughput,median_tpot_ms,interactivity_tok_s_user,p99_tpot_ms,median_ttft_ms,spec_decode_acceptance_length,spec_decode_draft_tokens,spec_decode_num_drafts,result_path
adaptive_k8,8,0,48,975.8043076784844,6.764752578158868,147.82506654103904,21.652496839738937,55.42002059519291,1.906285964816134,291952,36494,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k8-BENCH--c8/run=0.json
adaptive_k8,8,1,48,1086.2910171374199,6.70964495516844,149.03918265149036,8.895154336481763,46.282448805868626,1.897759751748918,293896,36737,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k8-BENCH--c8/run=1.json
adaptive_k8,8,2,48,1075.8779386647511,6.844204281003866,146.10902289627833,8.744402105408133,50.01148488372564,1.8620625613541695,301528,37691,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k8-BENCH--c8/run=2.json
adaptive_k8,16,0,64,1629.022491375378,8.42022562592826,118.76166321727968,11.247013983219368,70.9824189543724,1.7755266429684626,456856,57107,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k8-BENCH--c16/run=0.json
adaptive_k8,16,1,64,1696.0284311040598,8.086437065570502,123.66385738135334,10.352514375452738,66.37479038909078,1.786130198915009,442400,55300,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k8-BENCH--c16/run=1.json
adaptive_k8,16,2,64,1710.6318418921107,8.235595959561994,121.42412096345538,10.275654884921906,65.80510456115007,1.7725823776029936,461776,57722,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k8-BENCH--c16/run=2.json
adaptive_k8,32,0,96,2760.641233175804,9.645734811988364,103.67276516426028,12.556550734456671,81.21849223971367,1.7250308847286895,673472,84184,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k8-BENCH--c32/run=0.json
adaptive_k8,32,1,96,2764.1416526811736,9.535699443355549,104.8690770866103,12.158101468661396,81.88676461577415,1.7334255791206432,670672,83834,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k8-BENCH--c32/run=1.json
adaptive_k8,32,2,96,2780.820511988183,9.627141753390012,103.87299009572278,12.330908561421127,81.53909910470247,1.741673455695596,667744,83468,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k8-BENCH--c32/run=2.json
adaptive_k8,64,0,160,4649.63665862911,11.040103579546702,90.57886031546265,14.400221383826809,104.34004757553339,2.1353940627222876,888488,111061,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k8-BENCH--c64/run=0.json
